Main,Xpath,Value 
,/NewDataSet/Table[151]/Town,[A-Za-z].*
,/NewDataSet/Table[151]/County,[A-Za-z].*
,/NewDataSet/Table[151]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[152]/Town,[A-Za-z].*
,/NewDataSet/Table[152]/County,[A-Za-z].*
,/NewDataSet/Table[152]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[153]/Town,[A-Za-z].*
,/NewDataSet/Table[153]/County,[A-Za-z].*
,/NewDataSet/Table[153]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[154]/Town,[A-Za-z].*
,/NewDataSet/Table[154]/County,[A-Za-z].*
,/NewDataSet/Table[154]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[155]/Town,[A-Za-z].*
,/NewDataSet/Table[155]/County,[A-Za-z].*
,/NewDataSet/Table[155]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[156]/Town,[A-Za-z].*
,/NewDataSet/Table[156]/County,[A-Za-z].*
,/NewDataSet/Table[156]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[157]/Town,[A-Za-z].*
,/NewDataSet/Table[157]/County,[A-Za-z].*
,/NewDataSet/Table[157]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[158]/Town,[A-Za-z].*
,/NewDataSet/Table[158]/County,[A-Za-z].*
,/NewDataSet/Table[158]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[159]/Town,[A-Za-z].*
,/NewDataSet/Table[159]/County,[A-Za-z].*
,/NewDataSet/Table[159]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[160]/Town,[A-Za-z].*
,/NewDataSet/Table[160]/County,[A-Za-z].*
,/NewDataSet/Table[160]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[161]/Town,[A-Za-z].*
,/NewDataSet/Table[161]/County,[A-Za-z].*
,/NewDataSet/Table[161]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[162]/Town,[A-Za-z].*
,/NewDataSet/Table[162]/County,[A-Za-z].*
,/NewDataSet/Table[162]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[163]/Town,[A-Za-z].*
,/NewDataSet/Table[163]/County,[A-Za-z].*
,/NewDataSet/Table[163]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[164]/Town,[A-Za-z].*
,/NewDataSet/Table[164]/County,[A-Za-z].*
,/NewDataSet/Table[164]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[165]/Town,[A-Za-z].*
,/NewDataSet/Table[165]/County,[A-Za-z].*
,/NewDataSet/Table[165]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[166]/Town,[A-Za-z].*
,/NewDataSet/Table[166]/County,[A-Za-z].*
,/NewDataSet/Table[166]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[167]/Town,[A-Za-z].*
,/NewDataSet/Table[167]/County,[A-Za-z].*
,/NewDataSet/Table[167]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[168]/Town,[A-Za-z].*
,/NewDataSet/Table[168]/County,[A-Za-z].*
,/NewDataSet/Table[168]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[169]/Town,[A-Za-z].*
,/NewDataSet/Table[169]/County,[A-Za-z].*
,/NewDataSet/Table[169]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[170]/Town,[A-Za-z].*
,/NewDataSet/Table[170]/County,[A-Za-z].*
,/NewDataSet/Table[170]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[171]/Town,[A-Za-z].*
,/NewDataSet/Table[171]/County,[A-Za-z].*
,/NewDataSet/Table[171]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[172]/Town,[A-Za-z].*
,/NewDataSet/Table[172]/County,[A-Za-z].*
,/NewDataSet/Table[172]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[173]/Town,[A-Za-z].*
,/NewDataSet/Table[173]/County,[A-Za-z].*
,/NewDataSet/Table[173]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[174]/Town,[A-Za-z].*
,/NewDataSet/Table[174]/County,[A-Za-z].*
,/NewDataSet/Table[174]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[175]/Town,[A-Za-z].*
,/NewDataSet/Table[175]/County,[A-Za-z].*
,/NewDataSet/Table[175]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[176]/Town,[A-Za-z].*
,/NewDataSet/Table[176]/County,[A-Za-z].*
,/NewDataSet/Table[176]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[177]/Town,[A-Za-z].*
,/NewDataSet/Table[177]/County,[A-Za-z].*
,/NewDataSet/Table[177]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[178]/Town,[A-Za-z].*
,/NewDataSet/Table[178]/County,[A-Za-z].*
,/NewDataSet/Table[178]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[179]/Town,[A-Za-z].*
,/NewDataSet/Table[179]/County,[A-Za-z].*
,/NewDataSet/Table[179]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[180]/Town,[A-Za-z].*
,/NewDataSet/Table[180]/County,[A-Za-z].*
,/NewDataSet/Table[180]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[181]/Town,[A-Za-z].*
,/NewDataSet/Table[181]/County,[A-Za-z].*
,/NewDataSet/Table[181]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[182]/Town,[A-Za-z].*
,/NewDataSet/Table[182]/County,[A-Za-z].*
,/NewDataSet/Table[182]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[183]/Town,[A-Za-z].*
,/NewDataSet/Table[183]/County,[A-Za-z].*
,/NewDataSet/Table[183]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[184]/Town,[A-Za-z].*
,/NewDataSet/Table[184]/County,[A-Za-z].*
,/NewDataSet/Table[184]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[185]/Town,[A-Za-z].*
,/NewDataSet/Table[185]/County,[A-Za-z].*
,/NewDataSet/Table[185]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[186]/Town,[A-Za-z].*
,/NewDataSet/Table[186]/County,[A-Za-z].*
,/NewDataSet/Table[186]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[187]/Town,[A-Za-z].*
,/NewDataSet/Table[187]/County,[A-Za-z].*
,/NewDataSet/Table[187]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[188]/Town,[A-Za-z].*
,/NewDataSet/Table[188]/County,[A-Za-z].*
,/NewDataSet/Table[188]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[189]/Town,[A-Za-z].*
,/NewDataSet/Table[189]/County,[A-Za-z].*
,/NewDataSet/Table[189]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[190]/Town,[A-Za-z].*
,/NewDataSet/Table[190]/County,[A-Za-z].*
,/NewDataSet/Table[190]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[191]/Town,[A-Za-z].*
,/NewDataSet/Table[191]/County,[A-Za-z].*
,/NewDataSet/Table[191]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[192]/Town,[A-Za-z].*
,/NewDataSet/Table[192]/County,[A-Za-z].*
,/NewDataSet/Table[192]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[193]/Town,[A-Za-z].*
,/NewDataSet/Table[193]/County,[A-Za-z].*
,/NewDataSet/Table[193]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[194]/Town,[A-Za-z].*
,/NewDataSet/Table[194]/County,[A-Za-z].*
,/NewDataSet/Table[194]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[195]/Town,[A-Za-z].*
,/NewDataSet/Table[195]/County,[A-Za-z].*
,/NewDataSet/Table[195]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[196]/Town,[A-Za-z].*
,/NewDataSet/Table[196]/County,[A-Za-z].*
,/NewDataSet/Table[196]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[197]/Town,[A-Za-z].*
,/NewDataSet/Table[197]/County,[A-Za-z].*
,/NewDataSet/Table[197]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[198]/Town,[A-Za-z].*
,/NewDataSet/Table[198]/County,[A-Za-z].*
,/NewDataSet/Table[198]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[199]/Town,[A-Za-z].*
,/NewDataSet/Table[199]/County,[A-Za-z].*
,/NewDataSet/Table[199]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[200]/Town,[A-Za-z].*
,/NewDataSet/Table[200]/County,[A-Za-z].*
,/NewDataSet/Table[200]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[201]/Town,[A-Za-z].*
,/NewDataSet/Table[201]/County,[A-Za-z].*
,/NewDataSet/Table[201]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[202]/Town,[A-Za-z].*
,/NewDataSet/Table[202]/County,[A-Za-z].*
,/NewDataSet/Table[202]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[203]/Town,[A-Za-z].*
,/NewDataSet/Table[203]/County,[A-Za-z].*
,/NewDataSet/Table[203]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[204]/Town,[A-Za-z].*
,/NewDataSet/Table[204]/County,[A-Za-z].*
,/NewDataSet/Table[204]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[205]/Town,[A-Za-z].*
,/NewDataSet/Table[205]/County,[A-Za-z].*
,/NewDataSet/Table[205]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[206]/Town,[A-Za-z].*
,/NewDataSet/Table[206]/County,[A-Za-z].*
,/NewDataSet/Table[206]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[207]/Town,[A-Za-z].*
,/NewDataSet/Table[207]/County,[A-Za-z].*
,/NewDataSet/Table[207]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[208]/Town,[A-Za-z].*
,/NewDataSet/Table[208]/County,[A-Za-z].*
,/NewDataSet/Table[208]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[209]/Town,[A-Za-z].*
,/NewDataSet/Table[209]/County,[A-Za-z].*
,/NewDataSet/Table[209]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[210]/Town,[A-Za-z].*
,/NewDataSet/Table[210]/County,[A-Za-z].*
,/NewDataSet/Table[210]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[211]/Town,[A-Za-z].*
,/NewDataSet/Table[211]/County,[A-Za-z].*
,/NewDataSet/Table[211]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[212]/Town,[A-Za-z].*
,/NewDataSet/Table[212]/County,[A-Za-z].*
,/NewDataSet/Table[212]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[213]/Town,[A-Za-z].*
,/NewDataSet/Table[213]/County,[A-Za-z].*
,/NewDataSet/Table[213]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[214]/Town,[A-Za-z].*
,/NewDataSet/Table[214]/County,[A-Za-z].*
,/NewDataSet/Table[214]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[215]/Town,[A-Za-z].*
,/NewDataSet/Table[215]/County,[A-Za-z].*
,/NewDataSet/Table[215]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[216]/Town,[A-Za-z].*
,/NewDataSet/Table[216]/County,[A-Za-z].*
,/NewDataSet/Table[216]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[217]/Town,[A-Za-z].*
,/NewDataSet/Table[217]/County,[A-Za-z].*
,/NewDataSet/Table[217]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[218]/Town,[A-Za-z].*
,/NewDataSet/Table[218]/County,[A-Za-z].*
,/NewDataSet/Table[218]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[219]/Town,[A-Za-z].*
,/NewDataSet/Table[219]/County,[A-Za-z].*
,/NewDataSet/Table[219]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[220]/Town,[A-Za-z].*
,/NewDataSet/Table[220]/County,[A-Za-z].*
,/NewDataSet/Table[220]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[221]/Town,[A-Za-z].*
,/NewDataSet/Table[221]/County,[A-Za-z].*
,/NewDataSet/Table[221]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[222]/Town,[A-Za-z].*
,/NewDataSet/Table[222]/County,[A-Za-z].*
,/NewDataSet/Table[222]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[223]/Town,[A-Za-z].*
,/NewDataSet/Table[223]/County,[A-Za-z].*
,/NewDataSet/Table[223]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[224]/Town,[A-Za-z].*
,/NewDataSet/Table[224]/County,[A-Za-z].*
,/NewDataSet/Table[224]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[225]/Town,[A-Za-z].*
,/NewDataSet/Table[225]/County,[A-Za-z].*
,/NewDataSet/Table[225]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[226]/Town,[A-Za-z].*
,/NewDataSet/Table[226]/County,[A-Za-z].*
,/NewDataSet/Table[226]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[227]/Town,[A-Za-z].*
,/NewDataSet/Table[227]/County,[A-Za-z].*
,/NewDataSet/Table[227]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[228]/Town,[A-Za-z].*
,/NewDataSet/Table[228]/County,[A-Za-z].*
,/NewDataSet/Table[228]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[229]/Town,[A-Za-z].*
,/NewDataSet/Table[229]/County,[A-Za-z].*
,/NewDataSet/Table[229]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[230]/Town,[A-Za-z].*
,/NewDataSet/Table[230]/County,[A-Za-z].*
,/NewDataSet/Table[230]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[231]/Town,[A-Za-z].*
,/NewDataSet/Table[231]/County,[A-Za-z].*
,/NewDataSet/Table[231]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[232]/Town,[A-Za-z].*
,/NewDataSet/Table[232]/County,[A-Za-z].*
,/NewDataSet/Table[232]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[233]/Town,[A-Za-z].*
,/NewDataSet/Table[233]/County,[A-Za-z].*
,/NewDataSet/Table[233]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[234]/Town,[A-Za-z].*
,/NewDataSet/Table[234]/County,[A-Za-z].*
,/NewDataSet/Table[234]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[235]/Town,[A-Za-z].*
,/NewDataSet/Table[235]/County,[A-Za-z].*
,/NewDataSet/Table[235]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[236]/Town,[A-Za-z].*
,/NewDataSet/Table[236]/County,[A-Za-z].*
,/NewDataSet/Table[236]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[237]/Town,[A-Za-z].*
,/NewDataSet/Table[237]/County,[A-Za-z].*
,/NewDataSet/Table[237]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[238]/Town,[A-Za-z].*
,/NewDataSet/Table[238]/County,[A-Za-z].*
,/NewDataSet/Table[238]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[239]/Town,[A-Za-z].*
,/NewDataSet/Table[239]/County,[A-Za-z].*
,/NewDataSet/Table[239]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[240]/Town,[A-Za-z].*
,/NewDataSet/Table[240]/County,[A-Za-z].*
,/NewDataSet/Table[240]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[241]/Town,[A-Za-z].*
,/NewDataSet/Table[241]/County,[A-Za-z].*
,/NewDataSet/Table[241]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[242]/Town,[A-Za-z].*
,/NewDataSet/Table[242]/County,[A-Za-z].*
,/NewDataSet/Table[242]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[243]/Town,[A-Za-z].*
,/NewDataSet/Table[243]/County,[A-Za-z].*
,/NewDataSet/Table[243]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[244]/Town,[A-Za-z].*
,/NewDataSet/Table[244]/County,[A-Za-z].*
,/NewDataSet/Table[244]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[245]/Town,[A-Za-z].*
,/NewDataSet/Table[245]/County,[A-Za-z].*
,/NewDataSet/Table[245]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[246]/Town,[A-Za-z].*
,/NewDataSet/Table[246]/County,[A-Za-z].*
,/NewDataSet/Table[246]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[247]/Town,[A-Za-z].*
,/NewDataSet/Table[247]/County,[A-Za-z].*
,/NewDataSet/Table[247]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[248]/Town,[A-Za-z].*
,/NewDataSet/Table[248]/County,[A-Za-z].*
,/NewDataSet/Table[248]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[249]/Town,[A-Za-z].*
,/NewDataSet/Table[249]/County,[A-Za-z].*
,/NewDataSet/Table[249]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[250]/Town,[A-Za-z].*
,/NewDataSet/Table[250]/County,[A-Za-z].*
,/NewDataSet/Table[250]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[251]/Town,[A-Za-z].*
,/NewDataSet/Table[251]/County,[A-Za-z].*
,/NewDataSet/Table[251]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[252]/Town,[A-Za-z].*
,/NewDataSet/Table[252]/County,[A-Za-z].*
,/NewDataSet/Table[252]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[253]/Town,[A-Za-z].*
,/NewDataSet/Table[253]/County,[A-Za-z].*
,/NewDataSet/Table[253]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[254]/Town,[A-Za-z].*
,/NewDataSet/Table[254]/County,[A-Za-z].*
,/NewDataSet/Table[254]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[255]/Town,[A-Za-z].*
,/NewDataSet/Table[255]/County,[A-Za-z].*
,/NewDataSet/Table[255]/PostCode,[A-Za-z]{2}[0-9]+
